Nr;Ung�ltige;;;;SPD Erst 2009;SPD Erst 2005;SPD Zweit 2009;SPD Zweit 2005;CDU;;;;FDP;;;;DIE LINKE;;;;GRÜNE;;;;CSU;;;;NPD;;;;REP;;;;FAMILIE;;;;Die Tierschutzpartei;;;;PBC;;;;MLPD;;;;BüSo;;;;BP;;;;PSG;;;;Volksabstimmung;;;;ZENTRUM;;;;ADM;;;;CM;;;;DKP;;;;DVU;;;;DIE VIOLETTEN;;;;FWD;;;;ödp;;;;PIRATEN;;;;RRP;;;;RENTNER;;;;Freie Union;;;;Keine;;;
;Erststimmen;;Zweitstimmen;;SPD;;;;CDU;;;;FDP;;;;DIE LINKE;;;;GRÜNE;;;;CSU;;;;NPD;;;;REP;;;;FAMILIE;;;;Die Tierschutzpartei;;;;PBC;;;;MLPD;;;;BüSo;;;;BP;;;;PSG;;;;Volksabstimmung;;;;ZENTRUM;;;;ADM;;;;CM;;;;DKP;;;;DVU;;;;DIE VIOLETTEN;;;;FWD;;;;ödp;;;;PIRATEN;;;;RRP;;;;RENTNER;;;;Freie Union;;;;KEINE;;;
253;1789;2615;1748;2330;27427;41804;25356;41717;;;;;20137;10866;27522;19169;8264;5007;9425;5537;15031;13159;16430;14067;92508;112956;80335;100308;2834;3468;2168;2351;;;1777;2374;;;1187;1190;;;1208;;;;200;416;;;46;88;444;;122;144;2552;;1609;947;;;;;;;;;;;;;;;;;;;191;;;;;;;;110;;;;405;;;;;;2804;;1790;;;;3399;;2539;;1990;;;;;;;;;;;1266;;1108
254;2484;3051;1754;2161;20901;32778;18290;32077;;;;;15337;8950;19314;12104;8025;3883;7605;3960;9962;8154;10139;7463;69102;87740;64647;82845;2549;3108;1919;2038;;;1725;2170;;;1077;958;;;703;;;;172;311;;;30;68;;;41;80;2385;;1432;623;;;;;;;;;;;;;;;;;;;182;;;;;;;;63;;888;;495;;;;;;1982;;1367;;;;2170;;;;751;;;;;;;;;;297;;;807
255;2191;2609;1497;1718;24977;43541;23937;41464;;;;;18406;10813;26391;17932;10245;5453;10341;5680;17398;11833;14310;11374;82046;99959;72060;91317;4483;4305;3499;3256;;;1013;1879;;;1283;1258;;;1040;;;;344;618;;;36;120;;;96;137;;;1005;634;;;;;;;;;;;;;;;;;;;250;;;;;;;;131;;;;331;;;;;;4291;;2387;;;;3496;;;;938;;;;;;;;;;;;;1158
256;2832;3211;1790;2288;19107;34349;20392;35163;;;;;17464;8943;26018;18144;7842;4707;8735;5030;20093;14162;17753;13712;83181;103030;70559;88875;1314;2212;1202;1404;2092;;1800;1747;;;1200;1425;;;1039;;;;242;477;;;41;73;;;53;103;2606;;1507;705;;;;;;;;;;;;;;;;;;;357;;;;;;;;71;;;;353;;;;;;3150;;2299;;;;2635;;;;983;;;;;;;;;;;;;1072
257;2008;2240;1618;1713;22859;34467;20544;34651;;;;;21115;12640;28362;18841;8822;5055;9369;5185;15030;12241;15668;12225;85429;110880;77911;103806;2814;3655;2262;2612;;;1010;1580;;;1196;1415;;;1018;;;;390;674;;;34;81;;;85;145;5367;;2849;1544;;;;;;;;;;;;;;;;;;;397;;;;;;;;119;;;;334;;;;;;3671;;2728;;;;2951;;;;803;;;;;;737;;;;1388;3029;;1024
258;2992;4414;2194;2598;25364;55393;26656;43391;48518;56243;39482;46703;14514;9599;27557;19697;6601;4255;9439;5607;42116;14870;31076;24805;;;;;1068;987;691;684;;;758;852;;;;443;;;667;;;583;250;433;;;144;171;446;279;150;165;;;;;;;;;;;143;;;;;;;;30;;;;;;;;;;;;60;;;;361;;;;;;;;494;;2350;;3426;;;;;;;;;;;;;;;1443;;880
259;1527;1642;1120;1463;33525;57524;26675;46334;44002;54297;37151;45045;13327;5839;22059;16250;10902;6448;11437;6611;21453;9089;22916;17241;;;;;1673;1616;999;1113;;;1365;1532;;;;624;;;756;;;;263;359;322;376;253;302;373;288;128;146;;;;;;;;;;;217;;;;;;;;43;;;;;;;;;;;;62;;;;336;;;;;;;;444;;1893;;2616;;;;;;;;;;;;;;;1227;;1102
260;1789;1879;1539;1924;36550;63778;34915;56981;82344;96605;61918;75622;23717;9621;38125;27218;9657;4791;11118;5916;24138;13908;25364;20247;;;;;2914;2866;2265;2003;;;1273;2068;;;;1153;;;1089;;;2058;1085;1671;328;452;197;296;;;68;129;;;;;;;;;;;346;;;;;;;;49;;;;;;;;;;;;88;;;;356;;;;;;;;552;;2798;;3861;;;;;;;;;;;;;;;;;894
261;2730;2690;2507;2571;35396;51793;25797;41987;53829;61861;41672;50235;10819;4063;22873;15639;6225;3739;7680;4178;15511;8742;19402;15219;;;;;1768;1897;1069;979;;;1601;2099;;;;758;;;582;;;;275;451;299;;148;183;;;68;74;;;;;;;;;;;239;;;;;;;;50;;;;;;;;;;;;40;;;;210;;;;;;;;351;;;;2051;;;;;;;;;;;;;;;;;578
262;1711;1794;1450;1509;36910;54989;28943;47452;66116;77838;51146;63260;17768;8136;31686;21741;7973;4261;8661;4707;21104;14650;22902;18130;;;;;2647;2569;1411;1300;;;2651;3187;;;;1065;;;787;;;;701;1007;;;88;154;;;94;86;;;;;;;;;;;502;;;;;;;;100;;;;;;;;;;;;59;;;;275;;;;;;;;413;;;;2552;;;;;;;;;;;;;;;;;706
263;2431;2501;1978;2149;33916;50859;26524;44017;55049;67443;42318;53166;13177;5985;24408;17179;8157;5278;9327;5609;14009;6956;17018;13356;;;;;2385;3011;1730;2238;;;1377;1736;;;;1036;;;956;;;;465;728;;;79;183;;;60;85;;;;;;;;;;;261;;;;;;;;46;;;;;;;;;;;;68;;;;325;;;;;;920;;523;;;;2371;;;;;;;;;;;;;;;;;548
264;2288;2923;2045;2574;44071;68120;31431;51024;69575;81488;53864;66983;19793;9344;33634;23836;8627;4296;10511;5593;15379;7645;22834;19440;;;;;2720;2542;1775;1651;;;1503;2067;;;;1121;;;934;;;;907;1221;319;425;140;210;;;70;130;;;;;;;;;;;311;;;;;;;;124;;;;;;;;;;;;94;;;;503;;;;;;1477;;881;;;;2865;;;;;;;;;;;;;;;;;960
265;2560;2709;2140;2333;34718;55972;31079;52063;61328;75355;50274;59291;19431;7499;30179;21054;9800;5168;10382;5829;23966;14228;23090;17956;;;;;2436;2346;1538;1670;;;1548;1783;;;;910;;;943;;971;;608;794;;;109;156;;;64;97;;;;;;;;;;;245;;;;;;;;59;;;;;;;;;;;;70;;;;360;;;;;;963;;628;;;;2995;;;;;;;;;;;;;;;2105;;1332
266;2440;2497;1882;2235;39430;60239;33711;56306;70606;81743;55618;66936;24682;12581;34641;22695;9169;4693;10852;5759;18626;11593;22773;16561;;;;;2798;3259;1941;2188;;;1954;2345;;;;1093;;;1161;;;;905;992;;;60;138;;;85;111;;;;;;;;;;;318;;;;;;;;68;;;;;;;;;;;;108;;;;353;;;;;;1177;;785;;;;3041;;;;;;;;;;;;;;1441;1909;;1246
267;2745;3054;2300;2701;41484;60353;35331;58244;73308;90333;57889;71134;19924;7918;31932;20941;10693;6082;12256;6904;14594;10059;16917;13540;;;;;3657;4157;2622;2980;;;1853;2622;;;;1357;;;1131;;;;912;994;372;550;186;273;;;70;118;;;;;;;;;;;358;;;;;;;;62;;;;;;;;;;;;160;;;;264;;;;;;1656;;1040;;;;3246;;;;;;;;;;;;;;;;;848
268;3239;3915;2698;3412;32606;51836;27907;48634;65474;75371;52745;64572;19839;11513;28688;18806;10938;5578;11554;5933;18132;11577;19829;14959;;;;;3328;3619;2429;2666;;;1444;2271;;;;1286;;;1070;;;2564;1173;2008;;;86;156;;;78;126;;;;;;;;;;;401;;;;;;;;57;;;;;;;;;;;;157;;;;317;;;;;;;;905;;;;2950;;;;;;;;;;;;;;1004;;;608
269;3030;3457;2561;3490;30902;46519;24289;41011;55492;65471;44068;55177;12822;6129;23060;14546;8177;4422;8840;4711;12749;9366;15606;12406;;;;;2404;2178;1578;1580;;;1608;1905;;;;928;;;777;;1240;;909;1144;;;92;127;;;79;119;;;;;;;;;;;276;;;;;;;;56;;;;;;;;;;;;83;;;;329;;;;;;;;533;;;;2229;;;;;;;;;;;;;;311;;;641
270;2504;2699;2189;2489;39951;58375;32195;54873;70599;85134;57878;71995;15604;9146;26534;16892;11775;9162;12351;6771;14226;8794;17732;13017;;;;;2996;;1867;1699;;;2251;2891;;;;1351;;;915;;;;644;937;;;55;149;;;86;109;;;;;;;;;;;397;;;;;;;;66;;;;;;;;;;;;123;;;;314;;;;;;;;827;;;;2830;;;;;;;;;;;;;;1567;;;671
271;3218;4322;2871;3578;37845;58201;29227;47399;53872;61000;40566;48557;11845;6288;24654;17804;10034;6333;11807;7333;21452;13478;26051;21778;;;;;1534;2241;1295;1638;;;544;833;;;;863;;;894;;;;444;469;234;;133;138;;;75;121;;;;;;;;;;;205;;;;;;;;28;;;;;;;;;;;;76;;;;254;;;;;;;;405;;4359;;5008;;;;;;;;;;;;;;316;;;881
272;2030;2609;1855;2336;39021;57983;31160;50046;68951;78578;55285;66466;17668;8182;29292;19680;8569;4446;9935;5649;15506;9599;18066;14962;;;;;2310;2415;1567;1713;;;1228;1360;;;;1237;;;1107;;;1532;896;1166;;;67;85;;;71;109;;;;;;;;;;;406;;;;;;;;48;;;;;;;;;;;;95;;;;263;;;;;;;;390;;;;3307;;;;;;;;;;;;;;506;;;699
273;2991;3171;2339;2734;33279;53604;27376;48869;68652;76326;55806;64460;14235;8105;25553;17081;8935;5313;10093;5931;15404;9092;16649;13099;;;;;2436;2311;1727;1711;;;1013;1539;;;;1083;;;1095;;;;348;530;;;58;89;;;83;107;;;;;;;;;;;316;;;;;;;;58;;;;;;;;;;;;81;;;;321;;;;;;;;378;;;;2538;;;;;;;;;;;;;;;;;633
274;3219;3648;2667;3267;47683;64692;35337;53397;57963;65242;49296;56533;19314;12366;28419;21107;8985;5064;11823;7307;24985;18704;28349;25686;;;;;1652;2369;1318;1655;;;686;810;;;;870;;;958;;;;288;349;;;57;92;;;62;89;;;;;;;;;;;239;;;;;;;;40;;;;;;;;;;;;71;;;;285;;;;;;;;364;;;;3396;;;;;;;;;;;;;;;;;745
275;2338;2478;1932;2275;39845;65730;32627;53295;48137;53513;38435;44641;11782;6579;19900;14283;12520;8984;14936;9507;16648;8293;18052;15587;;;;;2418;;1772;1875;;;987;1590;;;;1073;;;1090;;;;238;391;333;;121;177;;;60;147;;;;;;;;;;;286;;;;;;;;48;;;;;;;;;;;;73;;;;239;;;;;;;;236;;;;3258;;;;;;;;;;;;;;311;;;1027
276;2149;3187;1785;2693;29977;49188;27740;45318;75337;88525;63120;77032;17199;6585;25455;17525;9821;5048;10357;5848;13173;8170;13770;11157;;;;;2876;3291;2015;2388;;;1415;1868;;3461;;2245;;;1139;;;;502;658;;;59;82;;;98;96;;;;;;;;;;;332;;;;;;;;51;;;;;;;;;;;;125;;;;274;;;;;;1538;;1156;;;;2648;;;;;;;;;;;;;;;;;569
277;3375;4112;3040;3594;35426;56346;29356;47142;59755;72382;49922;60850;17833;6931;26191;18332;10596;5300;11078;6301;14952;8876;16723;14574;;;;;2725;2987;1894;2168;;;979;1270;;;;1139;;;1060;;;;489;652;;;49;81;;;65;92;;;;;;;;;;;328;;;;;;;;66;;;;;;;;;;;;95;;;;267;;;;;;;;406;;;;2970;;;;;;;;;;;;;;;;;626
278;2928;3061;2277;2656;32525;51873;27934;46173;64659;72516;50031;60845;15785;7210;26626;17619;9995;4776;10723;6075;12082;6503;14084;11271;;;;;2903;3012;1825;2177;;;1642;1764;;2923;;1897;;;1301;;;;385;443;;;65;125;;;70;97;;;;;;;;;;;357;;;;;;;;48;;;;;;;;;;;;85;;;;254;;;;;;;;384;;;;2976;;;;;;;;;;;;;;;;;689
279;3452;3562;2611;3200;34944;57135;30652;51706;62224;77861;52771;65153;24640;12296;30192;21025;10353;6439;11279;6676;15236;8992;17556;14023;;;;;3172;3280;2029;2083;;;1439;1922;;;;1271;;;1211;;2218;;1374;1416;;;73;144;;;67;105;;;;;;;;;;;450;;;;;;;;64;;;;;;;;;;;;148;;;;337;;;;;;;;412;;;;3048;;;;;;;;;;;;;;;;;842
280;3120;3439;2805;3076;28255;45838;24450;40263;64808;74513;53358;65367;17528;11449;28260;19478;9136;4813;9537;4942;13460;8023;14464;12163;;;;;1915;3117;1813;2229;2172;;1955;2192;;;;1204;;;1023;;2661;3567;1698;2646;;;72;123;;;68;107;;;;;;;;;;;325;;;;;;;;51;;;;;;;;;;;;70;;;;277;;;;;;;;464;;;;2390;;;;;;;;;;;;;;;;;661
281;2877;2633;2537;2578;51192;73278;32691;50480;44749;55922;42224;48254;12674;6180;21887;14845;9675;6964;13793;8009;33878;17809;35536;37082;;;;;890;1427;764;1068;1063;;981;763;;;;809;;;1165;;;;581;502;;;88;157;;;49;87;;;;;;;;;;;369;;;;;;;;56;;;;;;;;;;;;78;;1023;;658;;;;;;;;474;;;;4289;;;;;;;;;;;;;;;874;;803
282;2537;2556;1998;2151;49591;72553;33953;58577;58282;66109;49707;57872;16932;8070;26425;16674;9268;5116;10802;6372;16151;10474;23904;20989;;;;;2106;2300;1271;1491;;;1333;1630;;;;1052;;;1124;;1498;1519;987;1128;;;57;124;;;55;102;;;;;;;;;;;508;;;;;;;;51;;;;;;;;;;;;77;;;;323;;;;;;;;422;;;;3116;;;;;;;;;;;;;;;;;735
283;2864;3411;2577;2806;35339;57250;29740;51187;61427;70646;50594;59587;14470;7380;24135;16140;10238;5419;11134;6213;22429;14050;21332;18349;;;;;2022;2444;1310;1708;;;986;1223;;;;1348;;;1425;;;;584;757;;;38;70;;;56;123;;;;;;;;;;;399;;;;;;;;298;;;;;;;;;;;;86;;;;355;;;;;;;;523;;;;3029;;;;;;;;;;;;;;;;;756
284;3557;3793;3458;3521;27052;46271;24662;43430;65336;74953;52083;61181;15454;7552;24887;16864;10129;5834;10742;6398;17460;10415;18247;14479;;;;;2069;2487;1506;1896;;;914;1472;;;;1362;;;974;;;949;444;701;;;42;73;;;75;94;;;;;;;;;;;453;;;;;;;;93;;;;;;;;;;;;97;;;;417;;;;;;;;430;;;;2605;;;;;;;;;;;;;;1030;;;593
285;3305;3447;3164;3365;22388;39405;22550;39596;66104;78062;53547;67326;24395;13768;30249;19357;8140;;8753;4693;11503;9064;12924;10539;;;;;3006;3681;2298;2297;;;1126;1655;;5473;;2540;;;1022;;;;782;1113;;;45;92;;;110;161;;;;;;;;;;;502;;;;;;;;140;;;;;;;;;;;;131;;;;294;;;;;;2039;;1498;;;;2396;;;;;;;;;;;;;;;;;763
286;3816;3804;3024;3125;21835;38925;20374;35077;54172;64716;41694;53146;15292;7819;23812;16300;7158;;7837;4512;13034;9314;13344;11103;;;;;2881;3639;1978;2127;;;553;1041;;;;1038;;;937;;;1682;694;1170;;;80;158;;;61;99;;;;;;;;;;;287;;;;;;;;166;;;;;;;;;;;;100;;;;254;;;;;;;;455;;;;2111;;;;;;;;;;;;;;;;;717
287;2983;3293;2618;2900;29713;46713;26047;44123;59256;64745;43844;55279;20335;15504;29372;20274;8943;5420;9344;5665;17439;13065;20482;17958;;;;;1688;2129;1309;1561;;;533;840;;;;944;;;1319;;;;419;541;;;62;123;;;60;129;;;;;;;;;;;490;;;;;;;;116;;;;;;;;;;;;83;;;;444;;;;;;;;465;;;;3298;;;;;;;;;;;;;;;;;720
288;2793;3053;2480;2472;35026;49759;23058;39923;50967;62042;45201;55509;13686;7959;22993;14549;7100;;7765;4325;13091;9556;16971;14624;;;;;1667;2235;941;1122;;;1190;1456;;;;1012;;;869;;;1433;574;815;;;38;84;;;67;99;;;;;;;;;;;370;;;;;;;;48;;;;;;;;;;;;74;;;;338;;;;;;843;;611;;;;2244;;;;;;;;;;;;;;349;;;597
289;2689;3453;2066;2322;31395;49715;25770;45514;60753;75189;48400;59038;18203;8227;28740;21090;8452;5023;10060;5428;19871;11926;21392;16374;;;;;2491;2500;1820;1653;;;1283;1862;;;;1020;;;854;;;;585;802;491;484;190;245;;;75;85;;;;;;;;;;;466;;;;;;;;81;;;;;;;;;;;;96;;;;264;;;;;;;;406;;;;2793;;;;;;;;;;;;;;787;;;652
290;3394;3343;2562;2644;28501;55513;26823;42318;55188;62391;43603;51392;13680;5446;24233;16382;9801;4759;11185;6209;30560;14219;26939;23612;;;;;2078;2147;1452;1390;;;1122;1864;;;;938;;;870;;;;525;761;;;140;140;;;63;114;;;;;;;;;;;372;;;;;;;;42;;;;;;;;;;;;73;;;;318;;;;;;814;;633;;;;3648;;;;;;;;;;;;;;1075;875;;505
291;2199;2661;1855;2386;35875;55352;28426;48274;67798;82007;57158;70893;18273;8591;28708;19059;9605;4826;10644;5495;21477;12635;22889;17803;;;;;2510;2770;1792;2117;;;1210;1660;;;;1384;;;1087;;;;646;846;309;;161;201;;;97;153;;;;;;;;;;;525;;;;;;;;77;;;;;;;;;;;;130;;;;392;;;;;;;;859;;;;4306;;;;;;;;;;;;;;2558;2067;;758
292;3268;3682;2566;3287;26275;23508;15742;26582;48662;65280;49688;63435;17233;9284;21665;13532;6117;2692;6636;3204;11176;17063;12524;9610;;;;;2389;2624;1401;1567;;;1289;2226;;;;1506;;;879;;;;413;502;;;40;76;;;77;155;;;;;;;;;;;382;;;;;;;;60;;;;;;;;;;;;100;;;;277;;;;;;1760;;1536;;;;2277;;;;;;;;;;;;;;414;2343;;549
293;3263;2611;2303;2461;23587;36868;20080;35278;54169;63447;44205;53640;16521;6977;24483;15825;7077;3601;7775;4169;17349;13999;16962;14439;;;;;1771;1765;1277;1261;;;628;946;;207;;999;;;813;;;926;344;647;;;57;94;;;57;79;;;;;;;;;;;402;;;;;;;;148;;;;;;;;;;;;67;;;;444;;;;;;;;705;;;;2441;;;;;;;;;;;;;;;;;610
294;2181;2003;1767;1806;22530;35480;19969;33686;56931;69304;48146;60909;17946;7781;23997;15948;7918;3846;8428;4248;18639;15959;18408;15436;;;;;2006;1790;1250;1114;;;944;1542;;282;;1466;;;883;;;811;493;758;;;74;73;;;86;120;;;;;;;;;;;480;;;;;;;;115;;;;;;;;;;;;76;;;;444;;;;;;;;1965;;;;2404;;;;;;;;;;;;;;1048;532;;599
295;3110;2508;1966;2394;21695;36265;20001;34864;62858;76504;49774;65601;17220;7710;27454;16568;8292;4099;8763;4468;11802;7819;12571;9517;;;;;2895;2839;2036;1884;;;1527;2290;;3064;;1763;;;956;;;;600;918;;;137;235;;;65;95;;;;;;;;;;;385;;;;;;;;86;;;;;;;;;;;;114;;;;297;;;;;;;;572;;;;2477;;;;;;;;;;;;;;2431;;;687
296;3243;3583;2621;2993;43737;53035;34528;51231;45748;47057;38317;41846;10597;5266;17651;12502;31946;41428;34666;33021;9696;5576;12685;12517;;;;;1967;2434;1737;2823;;;;;;3072;1596;2614;;;;;;;;;323;223;112;217;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2536;;;;752;;;;;;;;;;;;;1323
297;2699;3305;2133;3302;51193;67981;37749;55839;58297;60495;50566;53774;11516;5867;19643;12789;24244;22956;31057;30142;8342;4915;10194;9014;;;;;2025;2802;1874;2872;;;;;;3321;2013;2874;;;;;;;;;;;48;183;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2188;;;;861;;;;;;;;;;;;;995
298;4022;4695;3446;4550;42910;56256;35506;50048;55727;55358;48373;50000;9486;5482;15094;10127;22965;20838;26775;25286;6058;4085;7507;6925;;;;;1835;2498;1629;2502;;;;;;4300;2273;3307;;;;;;;;;;;42;140;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1853;;;;664;;;;;;;;;;;;;951
299;3814;5179;3079;4710;44500;63167;36681;54083;48092;51579;42033;45447;10508;5413;17039;11770;27933;24287;31382;28640;6575;4400;9164;9033;;;;;2206;3186;2159;3262;;;;;4102;5246;3030;4207;;;;;;;;;;;50;146;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2043;;;;797;;;;;;;;;;;226;;1068
;3131;4161;2669;4009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
