Nr;Ung�ltige;;;;SPD Erst 2009;SPD Erst 2005;SPD Zweit 2009;SPD Zweit 2005;CDU;;;;FDP;;;;DIE LINKE;;;;GRÜNE;;;;CSU;;;;NPD;;;;REP;;;;FAMILIE;;;;Die Tierschutzpartei;;;;PBC;;;;MLPD;;;;BüSo;;;;BP;;;;PSG;;;;Volksabstimmung;;;;ZENTRUM;;;;ADM;;;;CM;;;;DKP;;;;DVU;;;;DIE VIOLETTEN;;;;FWD;;;;ödp;;;;PIRATEN;;;;RRP;;;;RENTNER;;;;Freie Union;;;;Keine;;;
;Erststimmen;;Zweitstimmen;;SPD;;;;CDU;;;;FDP;;;;DIE LINKE;;;;GRÜNE;;;;CSU;;;;NPD;;;;REP;;;;FAMILIE;;;;Die Tierschutzpartei;;;;PBC;;;;MLPD;;;;BüSo;;;;BP;;;;PSG;;;;Volksabstimmung;;;;ZENTRUM;;;;ADM;;;;CM;;;;DKP;;;;DVU;;;;DIE VIOLETTEN;;;;FWD;;;;ödp;;;;PIRATEN;;;;RRP;;;;RENTNER;;;;Freie Union;;;;KEINE;;;
34;1708;2376;1425;1978;48313;68750;38955;62773;52599;58684;47565;50311;15928;7454;22067;16092;9775;5418;11701;6577;11917;8329;13999;11070;;;;;1660;1735;1442;1782;;;;;;;;;;;1059;870;;;;315;;;27;56;;;;75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;193;;;;;;;;;;;;143;;;;2435;;;;937;;;;;;;;;;;;;657
35;1646;1664;1315;1456;52397;73003;41979;65909;53080;52093;45908;45078;10787;7001;17889;13843;12242;6281;13830;7604;12318;9774;17053;13732;;;;;2417;2559;1981;2387;;;;;;;;;;;1228;975;;;;536;;;24;52;;;;82;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;187;;;;;;;;;;;;152;;;;2339;;;;976;;;;;;;;;;;;;744
36;1642;1813;1337;1582;42395;58134;33279;53117;48344;54385;42324;46769;9895;5507;16930;12409;8366;4417;9759;5229;9101;5260;12155;9164;;;;;2138;2173;1825;2019;;;;;;;;;;;1172;892;;518;;474;;;22;41;;;;66;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;167;;;;;;;;;;;;133;;;;2252;;;;597;;;;;;;;;;;;;466
37;1702;1836;1326;1584;45002;64462;36139;56250;59657;66788;50104;55816;15812;6599;24967;17501;9611;4904;10825;5771;13772;7065;18002;13324;;;;;1935;1879;1636;1687;;;;;;;;;;;1132;996;;539;;397;;;33;42;;;;69;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;177;;;;;;;;;;;;238;;;;2963;;1153;;1150;;;;;;;;;;;;;752
38;1976;1924;1552;1555;40411;61468;32321;54010;43229;49363;37291;42265;11242;5603;16323;12649;11935;7124;13166;8265;19645;11557;23543;16420;;;;;1860;1904;1594;1826;;;;;;;;;;;1002;798;;;;255;;;32;56;;;;60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;135;;;;;;;;;;;;194;;;;2795;;1449;;1704;;;;;;;;;;;;;694
39;1695;1936;1366;1657;46028;61900;37936;57200;63175;71536;55599;62100;12940;6635;21117;15371;9006;4274;10211;5039;10393;6884;13227;10143;;;;;1382;1532;1243;1482;;;;;;;;;;;854;691;;;;466;;;26;21;;;;53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;120;;;;;;;;;;;;190;;;;2268;;;;486;;;;;;;;;;;;;418
40;1706;1896;1353;1673;46979;67136;38000;60941;54522;61467;48398;54431;14823;8038;19941;14015;9918;4801;11878;5615;14282;9528;18463;14734;;;;;945;1120;848;1056;;;;;;;;;;;880;605;;;;286;;;18;61;;;;47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;88;;;;;;;;;;;;216;;;;3168;;;;443;;;;;;;;;;658;;;516
41;1584;1865;1370;1648;58649;80280;46797;73126;52714;57237;45750;50643;8712;5374;17698;12548;8797;4637;10847;5618;10217;5190;13815;9457;;;;;2036;2363;1858;2369;;;;;;;;;;;1079;808;;;;432;;;42;45;;;;75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;147;;;;;;;;;;;;183;;;;2454;;;;1352;;;;;;;;;;567;435;;583
42;1706;2024;1376;1836;50592;73195;40497;64477;42621;44061;34448;36313;9699;5419;16680;12349;10624;5565;12111;6666;13364;8333;19019;15356;;;;;1759;1731;1681;1658;;;;;;;;;;;1081;749;;;;312;176;207;88;92;;;;74;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;118;;;;;;;;;;;;190;;;;3102;;978;;973;;;;;;;;;;;;;772
43;1556;1855;1381;1548;55068;79249;41482;66004;44534;44250;33872;37099;8657;4629;16098;11689;12886;6305;14786;7969;15797;9943;24705;20271;;;;;1573;1583;1411;1428;;;;;;;;;;;1106;747;;;;293;;;137;106;;;;84;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;122;;;;;;;;;;;;221;;;;4368;;;;887;;;;;;;;;;417;;;623
